lead_id,created_date,lead_source,company_size,industry,sales_rep,current_stage,mql_date,demo_booked_date,days_mql_to_demo_booked,demo_completed_date,trial_start_date,closed_date,deal_value,churned
L-0001,2025-07-24,Referral,Startup (1-10),Marketing,James Chen,Closed Won,2025-07-25,2025-07-26,1.0,2025-07-27,2025-08-01,2025-08-14,4977.67,False
L-0002,2025-06-21,Organic Search,SMB (11-50),Marketing,Maria Santos,Lead,,,,,,,0.0,False
L-0003,2025-05-18,Paid Ads,Startup (1-10),EdTech,Maria Santos,MQL,2025-05-21,,,,,,0.0,False
L-0004,2025-06-03,Referral,Mid-Market (51-200),HR Tech,Tom Wilson,Lead,,,,,,,0.0,False
L-0005,2025-07-08,Organic Search,SMB (11-50),EdTech,Tom Wilson,Lead,,,,,,,0.0,False
L-0006,2025-07-29,Paid Ads,Startup (1-10),Marketing,Maria Santos,Lead,,,,,,,0.0,False
L-0007,2025-10-07,Organic Search,SMB (11-50),EdTech,James Chen,MQL,2025-10-10,,,,,,0.0,False
L-0008,2025-08-04,Referral,Startup (1-10),E-commerce,Tom Wilson,Demo Completed,2025-08-08,2025-08-18,10.0,2025-08-19,,,0.0,False
L-0009,2026-01-16,LinkedIn,SMB (11-50),HealthTech,James Chen,Lead,,,,,,,0.0,False
L-0010,2025-06-13,Paid Ads,Mid-Market (51-200),Logistics,Priya Patel,MQL,2025-06-15,,,,,,0.0,False
L-0011,2025-10-22,Organic Search,Mid-Market (51-200),Logistics,Tom Wilson,Demo Completed,2025-10-24,2025-10-29,5.0,2025-10-30,,,0.0,False
L-0012,2025-11-26,Organic Search,Startup (1-10),Logistics,Tom Wilson,MQL,2025-12-01,,,,,,0.0,False
L-0013,2025-05-28,Paid Ads,Mid-Market (51-200),Marketing,Alex Thompson,MQL,2025-05-30,,,,,,0.0,False
L-0014,2025-07-01,Cold Outreach,Mid-Market (51-200),Marketing,Tom Wilson,Lead,,,,,,,0.0,False
L-0015,2025-10-09,Paid Ads,Mid-Market (51-200),SaaS,James Chen,Lead,,,,,,,0.0,False
L-0016,2025-09-13,Organic Search,Mid-Market (51-200),FinTech,Tom Wilson,MQL,2025-09-14,,,,,,0.0,False
L-0017,2025-04-30,LinkedIn,Mid-Market (51-200),Marketing,James Chen,MQL,2025-05-05,,,,,,0.0,False
L-0018,2025-06-04,Paid Ads,SMB (11-50),HealthTech,Tom Wilson,MQL,2025-06-08,,,,,,0.0,False
L-0019,2026-01-02,Paid Ads,SMB (11-50),Logistics,James Chen,Lead,,,,,,,0.0,False
L-0020,2025-11-11,Referral,Mid-Market (51-200),Logistics,Alex Thompson,Churned,2025-11-15,2025-11-17,2.0,2025-11-18,2025-11-19,2025-12-16,19766.21,True
L-0021,2026-03-09,Paid Ads,SMB (11-50),SaaS,Alex Thompson,Demo Booked,2026-03-14,2026-03-22,8.0,,,,0.0,False
L-0022,2025-11-03,Paid Ads,Startup (1-10),Logistics,Alex Thompson,MQL,2025-11-04,,,,,,0.0,False
L-0023,2025-05-26,Cold Outreach,Startup (1-10),Logistics,Alex Thompson,MQL,2025-05-28,,,,,,0.0,False
L-0024,2025-05-09,Paid Ads,Startup (1-10),HR Tech,James Chen,Demo Booked,2025-05-14,2025-05-20,6.0,,,,0.0,False
L-0025,2025-05-01,Paid Ads,SMB (11-50),SaaS,Priya Patel,MQL,2025-05-02,,,,,,0.0,False
L-0026,2025-11-03,Paid Ads,Mid-Market (51-200),HR Tech,Alex Thompson,Lead,,,,,,,0.0,False
L-0027,2025-07-07,LinkedIn,Mid-Market (51-200),HR Tech,James Chen,MQL,2025-07-08,,,,,,0.0,False
L-0028,2026-01-25,Organic Search,Mid-Market (51-200),FinTech,Maria Santos,Churned,2026-01-30,2026-01-31,1.0,2026-02-01,2026-02-06,2026-03-04,19192.25,True
L-0029,2025-07-14,Referral,SMB (11-50),EdTech,Alex Thompson,Demo Completed,2025-07-17,2025-07-24,7.0,2025-07-26,,,0.0,False
L-0030,2026-01-01,Cold Outreach,Startup (1-10),HealthTech,Maria Santos,Demo Completed,2026-01-04,2026-01-10,6.0,2026-01-11,,,0.0,False
L-0031,2025-09-01,Organic Search,SMB (11-50),FinTech,Tom Wilson,Lead,,,,,,,0.0,False
L-0032,2025-05-25,Paid Ads,Mid-Market (51-200),Marketing,Maria Santos,Lead,,,,,,,0.0,False
L-0033,2025-07-14,Paid Ads,Startup (1-10),SaaS,Alex Thompson,Lead,,,,,,,0.0,False
L-0034,2025-05-18,LinkedIn,SMB (11-50),Marketing,Maria Santos,Lead,,,,,,,0.0,False
L-0035,2026-02-21,LinkedIn,Startup (1-10),EdTech,James Chen,Lead,,,,,,,0.0,False
L-0036,2025-04-05,Paid Ads,SMB (11-50),Logistics,Tom Wilson,MQL,2025-04-07,,,,,,0.0,False
L-0037,2025-06-05,LinkedIn,SMB (11-50),E-commerce,Priya Patel,MQL,2025-06-08,,,,,,0.0,False
L-0038,2026-03-16,LinkedIn,Mid-Market (51-200),EdTech,James Chen,Demo Booked,2026-03-17,2026-03-31,14.0,,,,0.0,False
L-0039,2025-04-13,Paid Ads,Startup (1-10),E-commerce,Priya Patel,MQL,2025-04-16,,,,,,0.0,False
L-0040,2025-06-21,Organic Search,Mid-Market (51-200),SaaS,Alex Thompson,Lead,,,,,,,0.0,False
L-0041,2025-07-12,Paid Ads,Mid-Market (51-200),HR Tech,James Chen,Lead,,,,,,,0.0,False
L-0042,2025-04-13,Organic Search,SMB (11-50),SaaS,James Chen,Lead,,,,,,,0.0,False
L-0043,2025-09-27,Organic Search,Startup (1-10),HealthTech,Alex Thompson,MQL,2025-10-01,,,,,,0.0,False
L-0044,2025-08-12,LinkedIn,SMB (11-50),FinTech,Maria Santos,Demo Completed,2025-08-15,2025-08-25,10.0,2025-08-25,,,0.0,False
L-0045,2025-12-23,Organic Search,Startup (1-10),Logistics,Maria Santos,Lead,,,,,,,0.0,False
L-0046,2025-11-07,Organic Search,Mid-Market (51-200),SaaS,Alex Thompson,Closed Lost,2025-11-10,2025-11-11,1.0,2025-11-13,2025-11-16,,0.0,False
L-0047,2026-02-10,Paid Ads,Mid-Market (51-200),Logistics,James Chen,Lead,,,,,,,0.0,False
L-0048,2025-07-17,Organic Search,Mid-Market (51-200),Marketing,Alex Thompson,MQL,2025-07-22,,,,,,0.0,False
L-0049,2025-11-29,Paid Ads,SMB (11-50),SaaS,Tom Wilson,Lead,,,,,,,0.0,False
L-0050,2025-12-20,Cold Outreach,Mid-Market (51-200),HealthTech,Alex Thompson,Lead,,,,,,,0.0,False
L-0051,2025-07-25,Referral,Startup (1-10),SaaS,Alex Thompson,Lead,,,,,,,0.0,False
L-0052,2025-05-08,Paid Ads,Startup (1-10),HR Tech,Tom Wilson,Demo Completed,2025-05-13,2025-05-17,4.0,2025-05-17,,,0.0,False
L-0053,2025-06-30,LinkedIn,Enterprise (200+),Logistics,James Chen,Lead,,,,,,,0.0,False
L-0054,2025-11-20,Referral,SMB (11-50),SaaS,Maria Santos,Demo Completed,2025-11-24,2025-12-06,12.0,2025-12-09,,,0.0,False
L-0055,2025-08-11,Organic Search,Enterprise (200+),HR Tech,Priya Patel,Lead,,,,,,,0.0,False
L-0056,2025-08-19,LinkedIn,Startup (1-10),HR Tech,James Chen,Closed Lost,2025-08-22,2025-09-01,10.0,2025-09-02,2025-09-08,,0.0,False
L-0057,2025-11-25,Paid Ads,SMB (11-50),EdTech,Tom Wilson,MQL,2025-11-27,,,,,,0.0,False
L-0058,2025-10-12,Organic Search,Mid-Market (51-200),FinTech,Tom Wilson,Demo Completed,2025-10-15,2025-10-19,4.0,2025-10-20,,,0.0,False
L-0059,2026-03-09,Paid Ads,SMB (11-50),Logistics,Alex Thompson,Lead,,,,,,,0.0,False
L-0060,2026-02-13,Organic Search,Startup (1-10),HR Tech,James Chen,MQL,2026-02-17,,,,,,0.0,False
L-0061,2025-11-23,Referral,Startup (1-10),Logistics,James Chen,Closed Lost,2025-11-26,2025-11-28,2.0,2025-12-01,2025-12-08,,0.0,False
L-0062,2025-07-24,LinkedIn,SMB (11-50),FinTech,Alex Thompson,Lead,,,,,,,0.0,False
L-0063,2025-07-12,LinkedIn,Mid-Market (51-200),FinTech,James Chen,Lead,,,,,,,0.0,False
L-0064,2026-01-14,Referral,Startup (1-10),HR Tech,Maria Santos,Lead,,,,,,,0.0,False
